"Name","MP","FG","FGA","3P","3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","opp","team","home","season","season_month","hour_float","rest_days"
"tyrese_maxey",38.18,8,16,2,5,3,3,0,1,1,2,2,0,1,5,21,"BOS","PHI",0,2023,1,19.5,0
"james_harden",37.28,9,14,5,9,12,12,0,8,8,7,0,0,3,3,35,"BOS","PHI",0,2023,1,19.5,0
"joel_embiid",37.26,9,18,1,6,7,9,1,14,15,5,0,1,6,4,26,"BOS","PHI",0,2023,1,19.5,0
"tobias_harris",34.23,7,14,3,6,1,2,1,1,2,0,3,0,0,3,18,"BOS","PHI",0,2023,1,19.5,0
"p.j._tucker",33.01,3,5,0,2,0,0,2,2,4,0,0,1,2,2,6,"BOS","PHI",0,2023,1,19.5,0
"de'anthony_melton",20.55,2,4,1,2,0,0,0,0,0,0,1,0,0,2,5,"BOS","PHI",0,2023,1,19.5,0
"danuel_house_jr.",16.2,0,2,0,1,1,2,0,1,1,1,2,0,1,2,1,"BOS","PHI",0,2023,1,19.5,0
"georges_niang",12.15,1,4,1,3,0,0,0,0,0,1,0,0,0,1,3,"BOS","PHI",0,2023,1,19.5,0
"montrezl_harrell",10.73,1,3,0,0,0,0,0,0,0,0,0,1,1,3,2,"BOS","PHI",0,2023,1,19.5,0
"matisse_thybulle",0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"BOS","PHI",0,2023,1,19.5,0
"jayson_tatum",38.63,13,20,2,7,7,9,0,12,12,4,1,1,3,1,35,"PHI","BOS",1,2023,1,19.5,0
"jaylen_brown",38.56,14,24,4,12,3,3,0,3,3,2,2,1,4,1,35,"PHI","BOS",1,2023,1,19.5,0
"marcus_smart",36.08,3,8,1,4,7,8,1,2,3,7,1,0,1,3,14,"PHI","BOS",1,2023,1,19.5,0
"derrick_white",24.03,1,3,0,1,0,1,1,2,3,4,1,0,1,2,2,"PHI","BOS",1,2023,1,19.5,0
"al_horford",23.1,2,7,2,5,0,0,1,4,5,1,0,0,0,4,6,"PHI","BOS",1,2023,1,19.5,0
"grant_williams",23.95,5,5,3,3,2,3,0,1,1,1,0,0,0,3,15,"PHI","BOS",1,2023,1,19.5,0
"malcolm_brogdon",23.86,7,11,0,2,2,2,1,1,2,4,2,0,1,2,16,"PHI","BOS",1,2023,1,19.5,0
"noah_vonleh",20.16,1,2,0,0,0,0,0,2,2,0,1,1,0,4,2,"PHI","BOS",1,2023,1,19.5,0
"blake_griffin",8.28,0,2,0,1,1,2,2,3,5,1,0,0,0,3,1,"PHI","BOS",1,2023,1,19.5,0
